 0.10131159183194D-11    547.70  545.57  540.79  534.65  527.82  520.65  513.34  506.00  498.70  491.45  484.29  477.22  470.25  463.38  456.60  449.93  443.35  436.87  430.48  424.19  417.99  411.89  405.87  399.94  394.10  388.35  382.68  377.10  371.60  366.18  360.85  355.59  350.41  345.31  340.29  335.34  330.46  325.66  320.93  316.28  311.69  307.17  302.72  298.34  294.02  289.77  285.58  281.46  277.40  273.40  269.46  265.58  261.77  258.00  254.30  250.65  247.06  243.52  240.04  236.61  233.24  229.91  226.64  223.41  220.24  217.11  214.03  211.00  208.02  205.08  202.19  199.34  196.53  193.77  191.05  188.37  185.74  183.14  180.59  178.07  175.60  173.16  170.76  168.39  166.07  163.78  161.52  159.30  157.11  154.96  152.84  150.76  148.70  146.68  144.69  142.73  140.80  138.91  137.04  135.20  133.38  131.60  129.85  128.12  126.42  124.74  123.09  121.47  119.87  118.30  116.75  115.23  113.73  112.25  110.80  109.37  107.96  106.57  105.21  103.86  102.54  101.24   99.96   98.70   97.46   96.23   95.03   93.85   92.68   91.53   90.41   89.29   88.20   87.12   86.06   85.02   83.99   82.98   81.99   81.01   80.04   79.09   78.16   77.24   76.34   75.45   74.57   73.71   72.86   72.02   71.20   70.39   69.59   68.81   68.04   67.28   66.53   65.79   65.07   64.35   63.65   62.96   62.28   61.61   60.95   60.31   59.67   59.04   58.42   57.81   57.21   56.62   56.04   55.47   54.91   54.36   53.81   53.28   52.75   52.23   51.72   51.22   50.72   50.23   49.74   49.26   48.78   48.29   47.78   47.25   46.67   46.02   45.26   44.35   43.20   41.73   39.81   37.30   34.00   29.70   24.39   20.74   20.00   19.97   19.97   19.97   19.97   19.97   19.97   19.97   19.97   19.97   19.97
 0.20189272383733D-11   1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1395.94 1377.13 1358.53 1340.13 1321.93 1303.93 1286.13 1268.53 1251.14 1233.94 1216.94 1200.14 1183.54 1167.14 1150.93 1134.91 1119.09 1103.46 1088.02 1072.77 1057.71 1042.83 1028.14 1013.64  999.32  985.18  971.22  957.44  943.84  930.41  917.16  904.08  891.17  878.43  865.86  853.46  841.22  829.14  817.23  805.47  793.88  782.44  771.15  760.02  749.04  738.21  727.53  717.00  706.61  696.37  686.27  676.31  666.49  656.80  647.25  637.84  628.56  619.41  610.39  601.49  592.72  584.08  575.56  567.17  558.89  550.73  542.69  534.77  526.95  519.26  511.67  504.19  496.83  489.56  482.41  475.36  468.41  461.57  454.82  448.17  441.62  435.17  428.81  422.55  416.38  410.30  404.31  398.41  392.60  386.87  381.23  375.67  370.19  364.80  359.49  354.25  349.10  344.02  339.02  334.09  329.24  324.46  319.75  315.12  310.55  306.05  301.62  297.26  292.96  288.73  284.56  280.46  276.41  272.43  268.51  264.65  260.85  257.11  253.42  249.79  246.21  242.69  239.22  235.81  232.45  229.14  225.88  222.67  219.50  216.39  213.33  210.31  207.34  204.41  201.53  198.70  195.90  193.15  190.45  187.78  185.15  182.57  180.03  177.52  175.06  172.63  170.24  167.88  165.57  163.28  161.04  158.83  156.65  154.51  152.40  150.32  148.27  146.26  144.28  142.32  140.40  138.51  136.65  134.81  133.00  131.21  129.45  127.71  125.98  124.27  122.55  120.83  119.09  117.31  115.46  113.51  111.42  109.13  106.59  103.70  100.38   96.51   91.99   86.68   80.48   73.27   64.96   55.50   41.50   26.87   20.60   19.98   19.97   19.97   19.97   19.97   19.97   19.97   19.97   19.97   19.97
 0.30202652310512D-11   1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1409.40 1390.79 1372.03 1353.48 1335.13 1316.98 1299.04 1281.29 1263.75 1246.41 1229.26 1212.32 1195.57 1179.02 1162.67 1146.51 1130.55 1114.78 1099.20 1083.81 1068.61 1053.60 1038.77 1024.14 1009.68  995.41  981.32  967.41  953.68  940.12  926.74  913.54  900.50  887.64  874.95  862.42  850.06  837.87  825.84  813.97  802.26  790.71  779.31  768.07  756.98  746.04  735.26  724.62  714.13  703.78  693.58  683.52  673.60  663.81  654.17  644.66  635.28  626.04  616.93  607.94  599.08  590.35  581.75  573.27  564.90  556.66  548.54  540.53  532.64  524.86  517.20  509.65  502.20  494.87  487.64  480.51  473.49  466.58  459.76  453.05  446.43  439.91  433.49  427.16  420.92  414.78  408.73  402.77  396.89  391.10  385.40  379.79  374.25  368.80  363.44  358.15  352.94  347.81  342.75  337.77  332.87  328.04  323.28  318.60  313.98  309.44  304.96  300.55  296.21  291.93  287.72  283.57  279.48  275.46  271.50  267.59  263.75  259.96  256.24  252.57  248.95  245.39  241.89  238.43  235.03  231.69  228.39  225.14  221.94  218.79  215.68  212.62  209.59  206.60  203.65  200.72  197.81  194.92  192.01  189.09  186.13  183.11  179.98  176.72  173.28  169.60  165.62  161.26  156.45  151.10  145.13  138.44  130.95  122.60  113.33  103.11   91.92   79.80   60.77   37.58   22.62   20.06   19.97   19.97   19.97   19.97   19.97   19.97   19.97   19.97   19.97
 0.40361839253762D-11   1640.71 1631.46 1606.29 1569.65 1525.98 1479.82 1423.32 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1397.27 1378.46 1359.84 1341.42 1323.20 1305.18 1287.37 1269.76 1252.34 1235.13 1218.11 1201.30 1184.68 1168.26 1152.03 1136.00 1120.16 1104.52 1089.06 1073.80 1058.72 1043.83 1029.13 1014.61 1000.27  986.12  972.15  958.35  944.74  931.30  918.03  904.94  892.02  879.27  866.68  854.27  842.02  829.93  818.00  806.24  794.63  783.18  771.89  760.75  749.76  738.93  728.24  717.70  707.30  697.05  686.94  676.98  667.15  657.46  647.90  638.48  629.20  620.04  611.01  602.12  593.35  584.70  576.18  567.78  559.50  551.34  543.29  535.36  527.55  519.85  512.26  504.78  497.41  490.15  483.00  475.94  468.99  462.15  455.40  448.75  442.20  435.75  429.39  423.13  416.96  410.88  404.89  398.99  393.17  387.44  381.80  376.24  370.77  365.38  360.06  354.83  349.67  344.60  339.59  334.67  329.81  325.03  320.32  315.68  311.12  306.61  302.18  297.81  293.50  289.25  285.05  280.91  276.82  272.77  268.76  264.77  260.79  256.81  252.82  248.78  244.67  240.46  236.12  231.59  226.82  221.76  216.35  210.51  204.17  197.26  189.72  181.46  172.45  162.63  151.98  140.49  128.19  115.11  101.31   78.98   49.69   26.13   20.27   19.97   19.97   19.97   19.97   19.97   19.97   19.97   19.97   19.97
 0.50426615920817D-11   2260.03 2253.89 2236.49 2209.28 2173.82 2131.67 2084.38 2033.36 1979.87 1924.93 1869.36 1813.73 1758.44 1703.75 1649.75 1596.53 1544.45 1492.81 1439.38 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1398.37 1379.55 1360.92 1342.49 1324.25 1306.22 1288.40 1270.77 1253.34 1236.12 1219.09 1202.26 1185.63 1169.20 1152.96 1136.91 1121.06 1105.40 1089.93 1074.66 1059.57 1044.67 1029.95 1015.42 1001.07  986.91  972.92  959.12  945.49  932.04  918.76  905.66  892.73  879.97  867.38  854.95  842.69  830.59  818.66  806.88  795.27  783.81  772.51  761.36  750.37  739.52  728.83  718.28  707.88  697.62  687.50  677.53  667.69  658.00  648.44  639.01  629.72  620.56  611.53  602.62  593.85  585.20  576.67  568.26  559.98  551.81  543.77  535.84  528.02  520.31  512.72  505.24  497.87  490.60  483.44  476.39  469.44  462.59  455.84  449.19  442.64  436.18  429.82  423.55  417.38  411.30  405.30  399.40  393.58  387.85  382.20  376.64  371.15  365.75  360.42  355.16  349.97  344.85  339.78  334.77  329.81  324.88  319.97  315.07  310.16  305.22  300.22  295.14  289.93  284.55  278.97  273.12  266.95  260.40  253.41  245.92  237.85  229.16  219.80  209.72  198.90  187.34  175.04  162.04  148.39  134.16  119.43   95.05   61.50   30.70   20.67   19.98   19.97   19.97   19.97   19.97   19.97   19.97   19.97   19.97
 0.60592430733463D-11   2752.58 2747.50 2732.90 2709.67 2678.75 2641.08 2597.63 2549.33 2497.11 2441.82 2384.27 2325.16 2265.10 2204.61 2144.09 2083.86 2024.17 1965.16 1906.95 1849.62 1793.18 1737.67 1683.09 1629.43 1576.59 1525.07 1476.25 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1405.55 1387.73 1369.07 1350.55 1332.23 1314.11 1296.20 1278.48 1260.97 1243.65 1226.53 1209.62 1192.90 1176.38 1160.05 1143.92 1127.98 1112.23 1096.68 1081.32 1066.15 1051.16 1036.36 1021.75 1007.32  993.07  979.01  965.12  951.42  937.89  924.53  911.35  898.35  885.51  872.84  860.34  848.01  835.84  823.83  811.99  800.30  788.78  777.41  766.19  755.13  744.22  733.46  722.85  712.38  702.06  691.89  681.85  671.96  662.20  652.59  643.10  633.75  624.54  615.45  606.49  597.66  588.96  580.38  571.93  563.59  555.38  547.28  539.30  531.44  523.69  516.05  508.52  501.11  493.80  486.59  479.50  472.50  465.61  458.82  452.13  445.53  439.03  432.62  426.31  420.08  413.93  407.87  401.89  395.97  390.12  384.33  378.58  372.87  367.18  361.49  355.79  350.05  344.24  338.32  332.28  326.05  319.60  312.87  305.81  298.37  290.48  282.09  273.16  263.62  253.45  242.62  231.13  218.96  206.16  192.76  178.82  164.41  149.63  134.56  109.09   72.65   35.98   21.29   19.99   19.97   19.97   19.97   19.97   19.97   19.97   19.97   19.97
 0.70616682656065D-11   3106.79 3102.42 3089.74 3069.36 3041.90 3008.02 2968.37 2923.63 2874.46 2821.53 2765.46 2706.88 2646.35 2584.39 2521.48 2458.04 2394.42 2330.92 2267.80 2205.23 2143.36 2082.31 2022.14 1962.92 1904.65 1847.38 1791.10 1735.84 1681.57 1628.27 1575.98 1525.39 1476.57 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1401.09 1383.06 1364.51 1346.05 1327.78 1309.71 1291.85 1274.18 1256.71 1239.44 1222.37 1205.50 1188.83 1172.35 1156.07 1139.99 1124.09 1108.39 1092.89 1077.57 1062.44 1047.50 1032.74 1018.17 1003.79  989.58  975.56  961.72  948.05  934.56  921.25  908.11  895.15  882.35  869.72  857.26  844.97  832.84  820.87  809.06  797.42  785.93  774.60  763.42  752.40  741.52  730.80  720.22  709.79  699.51  689.37  679.37  669.51  659.79  650.21  640.76  631.44  622.26  613.21  604.29  595.49  586.82  578.27  569.85  561.55  553.36  545.30  537.35  529.51  521.79  514.18  506.68  499.29  492.01  484.82  477.74  470.76  463.87  457.08  450.37  443.75  437.20  430.71  424.29  417.92  411.58  405.26  398.95  392.61  386.23  379.77  373.21  366.50  359.61  352.49  345.09  337.37  329.26  320.72  311.70  302.16  292.05  281.36  270.06  258.16  245.67  232.63  219.09  205.10  190.75  176.12  161.31  146.42  120.74   82.64   41.52   22.12   20.01   19.97   19.97   19.97   19.97   19.97   19.97   19.97   19.97
 0.80701775962528D-11   3267.00 3267.00 3267.00 3267.00 3261.92 3241.39 3209.95 3170.84 3126.09 3076.91 3024.08 2968.17 2909.70 2849.13 2786.89 2723.42 2659.07 2594.20 2529.10 2464.06 2399.28 2334.98 2271.30 2208.36 2146.26 2085.09 2024.88 1965.68 1907.53 1850.43 1794.42 1739.50 1685.70 1633.09 1581.91 1532.08 1480.80 1427.49 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1409.91 1396.64 1379.22 1360.90 1342.53 1324.31 1306.28 1288.45 1270.82 1253.39 1236.16 1219.12 1202.29 1185.65 1169.21 1152.97 1136.92 1121.06 1105.39 1089.92 1074.63 1059.54 1044.63 1029.91 1015.37 1001.02  986.85  972.86  959.05  945.41  931.96  918.68  905.57  892.63  879.87  867.27  854.84  842.57  830.47  818.54  806.76  795.14  783.68  772.38  761.23  750.24  739.39  728.70  718.15  707.75  697.49  687.38  677.41  667.57  657.88  648.32  638.90  629.61  620.46  611.43  602.53  593.76  585.12  576.60  568.20  559.92  551.76  543.71  535.78  527.97  520.26  512.66  505.17  497.77  490.47  483.27  476.15  469.11  462.14  455.23  448.37  441.54  434.74  427.93  421.10  414.23  407.28  400.22  393.01  385.62  377.99  370.10  361.88  353.29  344.29  334.83  324.88  314.41  303.40  291.85  279.76  267.15  254.08  240.59  226.74  212.63  198.34  183.97  169.61  155.36  130.23   91.55   47.16   23.16   20.05   19.97   19.97   19.97   19.97   19.97   19.97   19.97   19.97
 0.90830360332119D-11   3267.00 3267.00 3267.00 3267.00 3267.00 3267.00 3260.07 3243.70 3218.46 3185.24 3145.08 3099.07 3048.21 2993.46 2935.61 2875.36 2813.31 2749.93 2685.66 2620.84 2555.77 2490.71 2425.88 2361.45 2297.60 2234.44 2172.10 2110.65 2050.17 1990.72 1932.37 1875.14 1819.10 1764.29 1710.75 1658.57 1607.94 1559.27 1512.83 1467.35 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1407.93 1396.59 1380.80 1363.23 1345.13 1326.98 1308.95 1291.09 1273.44 1255.97 1238.71 1221.65 1204.78 1188.11 1171.64 1155.37 1139.28 1123.40 1107.70 1092.19 1076.88 1061.75 1046.81 1032.06 1017.50 1003.11  988.91  974.89  961.05  947.39  933.90  920.59  907.46  894.49  881.70  869.07  856.61  844.32  832.20  820.23  808.43  796.79  785.30  773.98  762.80  751.78  740.91  730.19  719.62  709.20  698.92  688.79  678.80  668.94  659.23  649.65  640.21  630.90  621.73  612.68  603.77  594.98  586.31  577.77  569.35  561.05  552.87  544.80  536.84  528.99  521.24  513.60  506.04  498.58  491.20  483.88  476.63  469.43  462.27  455.12  447.97  440.80  433.58  426.28  418.87  411.31  403.57  395.60  387.37  378.83  369.93  360.64  350.93  340.75  330.10  318.96  307.34  295.24  282.71  269.78  256.51  242.99  229.28  215.49  201.70  188.02  174.54  161.36  137.49   99.27   52.70   24.38   20.09   19.97   19.97   19.97   19.97   19.97   19.97   19.97   19.97
 0.10098520550969D-10   3267.00 3267.00 3267.00 3267.00 3267.00 3253.04 3237.33 3218.43 3195.37 3167.60 3134.96 3097.53 3055.59 3009.48 2959.65 2906.56 2850.70 2792.53 2732.53 2671.13 2608.71 2545.63 2482.20 2418.69 2355.34 2292.34 2229.86 2168.06 2107.05 2046.95 1987.85 1929.84 1873.02 1817.47 1763.31 1710.64 1659.58 1610.30 1563.15 1519.00 1479.24 1444.92 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1410.00 1405.73 1397.69 1386.10 1371.60 1355.24 1337.90 1320.17 1302.37 1284.65 1267.08 1249.70 1232.51 1215.52 1198.73 1182.13 1165.73 1149.52 1133.50 1117.68 1102.05 1086.62 1071.37 1056.30 1041.43 1026.74 1012.24  997.92  983.78  969.82  956.04  942.44  929.01  915.76  902.69  889.78  877.04  864.48  852.08  839.84  827.77  815.86  804.11  792.53  781.09  769.82  758.70  747.73  736.92  726.25  715.73  705.36  695.13  685.05  675.10  665.30  655.63  646.11  636.71  627.45  618.32  609.32  600.45  591.70  583.08  574.58  566.20  557.93  549.78  541.74  533.80  525.96  518.22  510.57  503.00  495.50  488.06  480.67  473.31  465.96  458.62  451.25  443.83  436.33  428.72  420.96  413.02  404.87  396.46  387.75  378.70  369.29  359.48  349.25  338.59  327.49  315.96  304.03  291.73  279.11  266.24  253.19  240.04  226.89  213.82  200.94  188.35  176.14  164.39  142.46  105.67   58.00   25.78   20.16   19.97   19.97   19.97   19.97   19.97   19.97   19.97   19.97
