    TIME (SEC)       VELOCITY
   1.01312e-12   0.00000e+00
   2.01893e-12   0.00000e+00
   3.02027e-12   0.00000e+00
   4.03618e-12   0.00000e+00
   5.04266e-12   0.00000e+00
   6.05924e-12   0.00000e+00
   7.06167e-12   0.00000e+00
   8.07018e-12   0.00000e+00
   9.08304e-12   0.00000e+00
   1.00985e-11   0.00000e+00
   1.11152e-11   0.00000e+00
   1.21326e-11   0.00000e+00
   1.31508e-11   0.00000e+00
   1.41697e-11   0.00000e+00
   1.51893e-11   0.00000e+00
   1.62095e-11   0.00000e+00
   1.72302e-11   0.00000e+00
   1.82516e-11   0.00000e+00
   1.92735e-11   6.45640e+05
   2.02959e-11   6.45640e+05
   2.12961e-11   6.45640e+05
   2.22968e-11   6.45640e+05
   2.32980e-11   6.45640e+05
   2.42996e-11   6.45640e+05
   2.53016e-11   6.45640e+05
   2.63041e-11   6.45640e+05
   2.73070e-11   6.45640e+05
   2.83103e-11   6.45640e+05
   2.93140e-11   6.45640e+05
   3.03181e-11   6.45640e+05
   3.13226e-11   6.45640e+05
   3.23274e-11   6.45640e+05
   3.33326e-11   6.45640e+05
   3.43382e-11   6.45640e+05
   3.53442e-11   6.45640e+05
   3.63505e-11   6.45640e+05
   3.73571e-11   6.45640e+05
   3.83641e-11   1.12441e+05
   3.93714e-11   1.12441e+05
   4.03791e-11   1.12441e+05
   4.13871e-11   1.12441e+05
   4.23954e-11   1.12441e+05
   4.34040e-11   1.12441e+05
   4.44130e-11   1.12441e+05
   4.54222e-11   1.12441e+05
   4.64318e-11   1.12441e+05
   4.74417e-11   1.12441e+05
   4.84518e-11   1.12441e+05
   4.94623e-11   1.12441e+05
   5.04731e-11   1.12441e+05
   5.14841e-11   1.12441e+05
   5.24955e-11   1.12441e+05
   5.35071e-11   1.12441e+05
   5.45190e-11   1.12441e+05
   5.55312e-11   1.12441e+05
   5.65437e-11   1.12441e+05
   5.75565e-11   1.12441e+05
   5.85695e-11   6.40091e+04
   5.95828e-11   6.40091e+04
   6.05964e-11   6.40091e+04
   6.16102e-11   6.40091e+04
   6.26243e-11   6.40091e+04
   6.36387e-11   6.40091e+04
   6.46533e-11   6.40091e+04
   6.56681e-11   6.40091e+04
   6.66833e-11   6.40091e+04
   6.76987e-11   6.40091e+04
   6.87143e-11   6.40091e+04
   6.97302e-11   6.40091e+04
   7.07463e-11   6.40091e+04
   7.17627e-11   6.40091e+04
   7.27793e-11   6.40091e+04
   7.37962e-11   6.40091e+04
   7.48133e-11   6.40091e+04
   7.58306e-11   6.40091e+04
   7.68482e-11   6.40091e+04
   7.78660e-11   4.69261e+04
   7.88840e-11   4.69261e+04
   7.99023e-11   4.69261e+04
   8.09208e-11   4.69261e+04
   8.19395e-11   4.69261e+04
   8.29585e-11   4.69261e+04
   8.39777e-11   4.69261e+04
   8.49971e-11   4.69261e+04
   8.60167e-11   4.69261e+04
   8.70366e-11   4.69261e+04
   8.80567e-11   4.69261e+04
   8.90770e-11   4.69261e+04
   9.00975e-11   4.69261e+04
   9.11182e-11   4.69261e+04
   9.21392e-11   4.69261e+04
   9.31603e-11   4.69261e+04
   9.41817e-11   4.69261e+04
   9.52033e-11   4.69261e+04
   9.62251e-11   4.69261e+04
   9.72471e-11   3.63856e+04
   9.82693e-11   3.63856e+04
   9.92917e-11   3.63856e+04
   1.00314e-10   3.63856e+04
   1.01337e-10   3.63856e+04
   1.02360e-10   3.63856e+04
   1.03383e-10   3.63856e+04
   1.04384e-10   3.63856e+04
   1.05384e-10   3.63856e+04
   1.06385e-10   3.63856e+04
   1.07385e-10   3.63856e+04
   1.08386e-10   3.63856e+04
   1.09387e-10   3.63856e+04
   1.10389e-10   3.63856e+04
   1.11390e-10   3.63856e+04
   1.12392e-10   3.63856e+04
   1.13394e-10   3.63856e+04
   1.14396e-10   3.63856e+04
   1.15398e-10   3.63856e+04
   1.16401e-10   3.63856e+04
   1.17403e-10   3.04235e+04
   1.18406e-10   3.04235e+04
   1.19409e-10   3.04235e+04
   1.20412e-10   3.04235e+04
   1.21415e-10   3.04235e+04
   1.22419e-10   3.04235e+04
   1.23423e-10   3.04235e+04
   1.24426e-10   3.04235e+04
   1.25430e-10   3.04235e+04
   1.26435e-10   3.04235e+04
   1.27439e-10   3.04235e+04
   1.28444e-10   3.04235e+04
   1.29448e-10   3.04235e+04
   1.30453e-10   3.04235e+04
   1.31458e-10   3.04235e+04
   1.32464e-10   3.04235e+04
   1.33469e-10   3.04235e+04
   1.34475e-10   3.04235e+04
   1.35480e-10   3.04235e+04
   1.36486e-10   3.04235e+04
   1.37492e-10   2.59152e+04
   1.38499e-10   2.59152e+04
   1.39505e-10   2.59152e+04
   1.40512e-10   2.59152e+04
   1.41519e-10   2.59152e+04
   1.42526e-10   2.59152e+04
   1.43533e-10   2.59152e+04
   1.44540e-10   2.59152e+04
   1.45547e-10   2.59152e+04
   1.46555e-10   2.59152e+04
   1.47563e-10   2.59152e+04
   1.48571e-10   2.59152e+04
   1.49579e-10   2.59152e+04
   1.50587e-10   2.59152e+04
   1.51595e-10   2.59152e+04
   1.52604e-10   2.59152e+04
   1.53613e-10   2.59152e+04
   1.54622e-10   2.59152e+04
   1.55631e-10   2.59152e+04
   1.56640e-10   2.18745e+04
   1.57649e-10   2.18745e+04
   1.58659e-10   2.18745e+04
   1.59668e-10   2.18745e+04
   1.60678e-10   2.18745e+04
   1.61688e-10   2.18745e+04
   1.62698e-10   2.18745e+04
   1.63709e-10   2.18745e+04
   1.64719e-10   2.18745e+04
   1.65730e-10   2.18745e+04
   1.66741e-10   2.18745e+04
   1.67751e-10   2.18745e+04
   1.68763e-10   2.18745e+04
   1.69774e-10   2.18745e+04
   1.70785e-10   2.18745e+04
   1.71797e-10   2.18745e+04
   1.72808e-10   2.18745e+04
   1.73820e-10   2.18745e+04
   1.74832e-10   2.18745e+04
   1.75844e-10   2.18745e+04
   1.76857e-10   1.97224e+04
   1.77869e-10   1.97224e+04
   1.78882e-10   1.97224e+04
   1.79894e-10   1.97224e+04
   1.80907e-10   1.97224e+04
   1.81920e-10   1.97224e+04
   1.82934e-10   1.97224e+04
   1.83947e-10   1.97224e+04
   1.84960e-10   1.97224e+04
   1.85974e-10   1.97224e+04
   1.86988e-10   1.97224e+04
   1.88002e-10   1.97224e+04
   1.89016e-10   1.97224e+04
   1.90030e-10   1.97224e+04
   1.91044e-10   1.97224e+04
   1.92059e-10   1.97224e+04
   1.93073e-10   1.97224e+04
   1.94088e-10   1.97224e+04
   1.95103e-10   1.97224e+04
   1.96118e-10   1.97224e+04
   1.97133e-10   1.75213e+04
   1.98149e-10   1.75213e+04
   1.99164e-10   1.75213e+04
   2.00180e-10   1.75213e+04
   2.01195e-10   1.75213e+04
   2.02211e-10   1.75213e+04
   2.03227e-10   1.75213e+04
   2.04244e-10   1.75213e+04
   2.05260e-10   1.75213e+04
   2.06276e-10   1.75213e+04
   2.07293e-10   1.75213e+04
   2.08310e-10   1.75213e+04
   2.09327e-10   1.75213e+04
   2.10344e-10   1.75213e+04
