    TIME (SEC)      DEPTH2222
   0.00000e+00   0.00000e+00
   2.00000e-14   0.00000e+00
   4.06481e-14   0.00000e+00
   6.12963e-14   0.00000e+00
   8.19444e-14   0.00000e+00
   1.02593e-13   0.00000e+00
   1.23241e-13   0.00000e+00
   1.43889e-13   0.00000e+00
   1.64537e-13   0.00000e+00
   1.85186e-13   0.00000e+00
   2.05836e-13   0.00000e+00
   2.26488e-13   0.00000e+00
   2.47140e-13   0.00000e+00
   2.67793e-13   0.00000e+00
   2.88448e-13   0.00000e+00
   3.09103e-13   0.00000e+00
   3.29761e-13   0.00000e+00
   3.50420e-13   0.00000e+00
   3.71080e-13   0.00000e+00
   3.91743e-13   0.00000e+00
   4.12408e-13   0.00000e+00
   4.33074e-13   0.00000e+00
   4.53743e-13   0.00000e+00
   4.74414e-13   0.00000e+00
   4.95088e-13   0.00000e+00
   5.15764e-13   0.00000e+00
   5.36443e-13   0.00000e+00
   5.57125e-13   0.00000e+00
   5.77810e-13   0.00000e+00
   5.98498e-13   0.00000e+00
   6.19189e-13   0.00000e+00
   6.39884e-13   0.00000e+00
   6.60582e-13   0.00000e+00
   6.81284e-13   0.00000e+00
   7.01989e-13   0.00000e+00
   7.22699e-13   0.00000e+00
   7.43412e-13   0.00000e+00
   7.64130e-13   0.00000e+00
   7.84852e-13   0.00000e+00
   8.05579e-13   0.00000e+00
   8.26310e-13   0.00000e+00
   8.47045e-13   0.00000e+00
   8.67786e-13   0.00000e+00
   8.88531e-13   0.00000e+00
   9.09282e-13   0.00000e+00
   9.30038e-13   0.00000e+00
   9.50799e-13   0.00000e+00
   9.71566e-13   0.00000e+00
   9.92338e-13   0.00000e+00
   1.01312e-12   0.00000e+00
   1.03390e-12   0.00000e+00
   1.05469e-12   0.00000e+00
   1.07549e-12   0.00000e+00
   1.09629e-12   0.00000e+00
   1.11710e-12   0.00000e+00
   1.13791e-12   0.00000e+00
   1.15873e-12   0.00000e+00
   1.17956e-12   0.00000e+00
   1.20040e-12   0.00000e+00
   1.22124e-12   0.00000e+00
   1.24209e-12   0.00000e+00
   1.26295e-12   0.00000e+00
   1.28381e-12   0.00000e+00
   1.30469e-12   0.00000e+00
   1.32557e-12   0.00000e+00
   1.34645e-12   0.00000e+00
   1.36735e-12   0.00000e+00
   1.38825e-12   0.00000e+00
   1.40916e-12   0.00000e+00
   1.43008e-12   0.00000e+00
   1.45101e-12   0.00000e+00
   1.47194e-12   0.00000e+00
   1.49289e-12   0.00000e+00
   1.51384e-12   0.00000e+00
   1.53479e-12   0.00000e+00
   1.55576e-12   0.00000e+00
   1.57673e-12   0.00000e+00
   1.59771e-12   0.00000e+00
   1.61870e-12   0.00000e+00
   1.63970e-12   0.00000e+00
   1.66070e-12   0.00000e+00
   1.68171e-12   0.00000e+00
   1.70273e-12   0.00000e+00
   1.72376e-12   0.00000e+00
   1.74479e-12   0.00000e+00
   1.76583e-12   0.00000e+00
   1.78688e-12   0.00000e+00
   1.80794e-12   1.16093e-09
   1.82900e-12   2.41921e-09
   1.85008e-12   3.67471e-09
   1.87116e-12   4.92740e-09
   1.89224e-12   6.17729e-09
   1.91334e-12   7.42437e-09
   1.93444e-12   8.66864e-09
   1.95555e-12   9.91010e-09
   1.97667e-12   1.11487e-08
   1.99779e-12   1.23845e-08
   2.01893e-12   1.36175e-08
   2.04007e-12   1.48477e-08
   2.06121e-12   1.60750e-08
   2.08237e-12   1.72995e-08
   2.10353e-12   1.85211e-08
   2.12470e-12   1.97398e-08
   2.14588e-12   2.09558e-08
   2.16706e-12   2.21688e-08
   2.18825e-12   2.33790e-08
   2.20945e-12   2.45863e-08
   2.23066e-12   2.57908e-08
   2.25187e-12   2.69924e-08
   2.27309e-12   2.81911e-08
   2.29432e-12   2.93869e-08
   2.31556e-12   3.05798e-08
   2.33680e-12   3.17698e-08
   2.35805e-12   3.29569e-08
   2.37931e-12   3.41411e-08
   2.40057e-12   3.53225e-08
   2.42184e-12   3.65009e-08
   2.44312e-12   3.76763e-08
   2.46441e-12   3.88489e-08
   2.48570e-12   4.00186e-08
   2.50700e-12   4.11853e-08
   2.52831e-12   4.23490e-08
   2.54962e-12   4.35099e-08
   2.57094e-12   4.46678e-08
   2.59227e-12   4.58227e-08
   2.61360e-12   4.69747e-08
   2.63494e-12   4.81238e-08
   2.65629e-12   4.92699e-08
   2.67765e-12   5.04130e-08
   2.69901e-12   5.15532e-08
   2.72038e-12   5.26903e-08
   2.74176e-12   5.38246e-08
   2.76314e-12   5.49558e-08
   2.78453e-12   5.60840e-08
   2.80593e-12   5.72093e-08
   2.82733e-12   5.83316e-08
   2.84874e-12   5.94508e-08
   2.87016e-12   6.05671e-08
   2.89158e-12   6.16804e-08
   2.91301e-12   6.27906e-08
   2.93445e-12   6.38978e-08
   2.95589e-12   6.50021e-08
   2.97734e-12   6.61033e-08
   2.99880e-12   6.72014e-08
   3.02027e-12   6.82966e-08
   3.04174e-12   6.93887e-08
   3.06321e-12   7.04778e-08
   3.08470e-12   7.15638e-08
   3.10619e-12   7.26468e-08
   3.12768e-12   7.37267e-08
