    TIME (SEC)       DEPTH222
   1.01312e-12   0.00000e+00
   2.01893e-12   1.23845e-08
   3.02027e-12   6.72014e-08
   4.03618e-12   1.49486e-06
   5.04266e-12   3.89529e-06
   6.05924e-12   5.49973e-06
   7.06167e-12   6.69951e-06
   8.07018e-12   7.68959e-06
   9.08304e-12   8.09742e-06
   1.00985e-11   8.48708e-06
   1.11152e-11   8.68175e-06
   1.21326e-11   8.87264e-06
   1.31508e-11   8.88794e-06
   1.41697e-11   9.07157e-06
   1.51893e-11   9.08937e-06
   1.62095e-11   9.26775e-06
   1.72302e-11   9.28569e-06
   1.82516e-11   9.46034e-06
   1.92735e-11   9.47722e-06
   2.02959e-11   9.49771e-06
   2.12961e-11   9.66430e-06
   2.22968e-11   9.68287e-06
   2.32980e-11   9.84905e-06
   2.42996e-11   9.86432e-06
   2.53016e-11   9.88335e-06
   2.63041e-11   1.00447e-05
   2.73070e-11   1.00600e-05
   2.83103e-11   1.00788e-05
   2.93140e-11   1.00992e-05
   3.03181e-11   1.02512e-05
   3.13226e-11   1.02692e-05
   3.23274e-11   1.02888e-05
   3.33326e-11   1.04388e-05
   3.43382e-11   1.04549e-05
   3.53442e-11   1.04734e-05
   3.63505e-11   1.04931e-05
   3.73571e-11   1.06371e-05
   3.83641e-11   1.06536e-05
   3.93714e-11   1.06718e-05
   4.03791e-11   1.06911e-05
   4.13871e-11   1.08311e-05
   4.23954e-11   1.08468e-05
   4.34040e-11   1.08643e-05
   4.44130e-11   1.08828e-05
   4.54222e-11   1.10216e-05
   4.64318e-11   1.10347e-05
   4.74417e-11   1.10511e-05
   4.84518e-11   1.10686e-05
   4.94623e-11   1.10868e-05
   5.04731e-11   1.12191e-05
   5.14841e-11   1.12329e-05
   5.24955e-11   1.12490e-05
   5.35071e-11   1.12660e-05
   5.45190e-11   1.12836e-05
   5.55312e-11   1.14131e-05
   5.65437e-11   1.14252e-05
   5.75565e-11   1.14403e-05
   5.85695e-11   1.14565e-05
   5.95828e-11   1.14733e-05
   6.05964e-11   1.14905e-05
   6.16102e-11   1.16124e-05
   6.26243e-11   1.16258e-05
   6.36387e-11   1.16407e-05
   6.46533e-11   1.16564e-05
   6.56681e-11   1.16726e-05
   6.66833e-11   1.16891e-05
   6.76987e-11   1.18071e-05
   6.87143e-11   1.18196e-05
   6.97302e-11   1.18338e-05
   7.07463e-11   1.18487e-05
   7.17627e-11   1.18641e-05
   7.27793e-11   1.18798e-05
   7.37962e-11   1.18958e-05
   7.48133e-11   1.20073e-05
   7.58306e-11   1.20201e-05
   7.68482e-11   1.20340e-05
   7.78660e-11   1.20484e-05
   7.88840e-11   1.20631e-05
   7.99023e-11   1.20782e-05
   8.09208e-11   1.20934e-05
   8.19395e-11   1.22013e-05
   8.29585e-11   1.22132e-05
   8.39777e-11   1.22262e-05
   8.49971e-11   1.22398e-05
   8.60167e-11   1.22538e-05
   8.70366e-11   1.22680e-05
   8.80567e-11   1.22825e-05
   8.90770e-11   1.22971e-05
   9.00975e-11   1.23996e-05
   9.11182e-11   1.24113e-05
   9.21392e-11   1.24238e-05
   9.31603e-11   1.24368e-05
   9.41817e-11   1.24501e-05
   9.52033e-11   1.24636e-05
   9.62251e-11   1.24773e-05
   9.72471e-11   1.24911e-05
   9.82693e-11   1.25912e-05
   9.92917e-11   1.26015e-05
   1.00314e-10   1.26131e-05
   1.01337e-10   1.26253e-05
   1.02360e-10   1.26378e-05
   1.03383e-10   1.26504e-05
   1.04384e-10   1.26630e-05
   1.05384e-10   1.26757e-05
   1.06385e-10   1.26885e-05
   1.07385e-10   1.27857e-05
   1.08386e-10   1.27943e-05
   1.09387e-10   1.28048e-05
   1.10389e-10   1.28159e-05
   1.11390e-10   1.28273e-05
   1.12392e-10   1.28389e-05
   1.13394e-10   1.28507e-05
   1.14396e-10   1.28627e-05
   1.15398e-10   1.07246e-05
   1.16401e-10   1.08354e-05
   1.17403e-10   1.09461e-05
   1.18406e-10   1.10571e-05
   1.19409e-10   1.11585e-05
   1.20412e-10   1.12396e-05
   1.21415e-10   1.13061e-05
   1.22419e-10   1.13620e-05
   1.23423e-10   1.14104e-05
   1.24426e-10   1.14539e-05
   1.25430e-10   1.14941e-05
   1.26435e-10   1.15327e-05
   1.27439e-10   1.15704e-05
   1.28444e-10   1.16066e-05
   1.29448e-10   1.16428e-05
   1.30453e-10   1.16782e-05
   1.31458e-10   1.17129e-05
   1.32464e-10   1.17468e-05
   1.33469e-10   1.17805e-05
   1.34475e-10   1.18128e-05
   1.35480e-10   1.18451e-05
   1.36486e-10   1.18767e-05
   1.37492e-10   1.19078e-05
   1.38499e-10   1.19397e-05
   1.39505e-10   1.19706e-05
   1.40512e-10   1.20012e-05
   1.41519e-10   1.20318e-05
   1.42526e-10   1.20616e-05
   1.43533e-10   1.20913e-05
   1.44540e-10   1.21214e-05
   1.45547e-10   1.21510e-05
   1.46555e-10   1.21798e-05
   1.47563e-10   1.22087e-05
   1.48571e-10   1.22375e-05
   1.49579e-10   1.22653e-05
   1.50587e-10   1.22929e-05
   1.51595e-10   1.23205e-05
   1.52604e-10   1.23488e-05
   1.53613e-10   1.23759e-05
   1.54622e-10   1.24029e-05
   1.55631e-10   1.24299e-05
   1.56640e-10   1.24569e-05
   1.57649e-10   1.24830e-05
   1.58659e-10   1.25088e-05
   1.59668e-10   1.25346e-05
   1.60678e-10   1.25603e-05
   1.61688e-10   1.25859e-05
   1.62698e-10   1.26112e-05
   1.63709e-10   1.26364e-05
   1.64719e-10   1.26616e-05
   1.65730e-10   1.26867e-05
   1.66741e-10   1.27115e-05
   1.67751e-10   1.27356e-05
   1.68763e-10   1.27596e-05
   1.69774e-10   1.27836e-05
   1.70785e-10   1.28075e-05
   1.71797e-10   1.28314e-05
   1.72808e-10   1.28543e-05
   1.73820e-10   1.28778e-05
   1.74832e-10   1.29012e-05
   1.75844e-10   1.29246e-05
   1.76857e-10   1.29479e-05
   1.77869e-10   1.29710e-05
   1.78882e-10   1.29934e-05
   1.79894e-10   1.30157e-05
   1.80907e-10   1.30379e-05
   1.81920e-10   1.30601e-05
   1.82934e-10   1.30823e-05
   1.83947e-10   1.31044e-05
   1.84960e-10   1.31257e-05
   1.85974e-10   1.31471e-05
   1.86988e-10   1.31688e-05
   1.88002e-10   1.31905e-05
   1.89016e-10   1.32122e-05
   1.90030e-10   1.32338e-05
   1.91044e-10   1.32552e-05
   1.92059e-10   1.32758e-05
   1.93073e-10   1.32965e-05
   1.94088e-10   1.33171e-05
   1.95103e-10   1.33376e-05
   1.96118e-10   1.33581e-05
   1.97133e-10   1.33786e-05
   1.98149e-10   1.33990e-05
   1.99164e-10   1.34188e-05
   2.00180e-10   1.34387e-05
   2.01195e-10   1.34588e-05
   2.02211e-10   1.34789e-05
   2.03227e-10   1.34989e-05
   2.04244e-10   1.35189e-05
   2.05260e-10   1.35388e-05
   2.06276e-10   1.35587e-05
   2.07293e-10   1.35778e-05
   2.08310e-10   1.35969e-05
   2.09327e-10   1.36159e-05
   2.10344e-10   1.36349e-05
   2.11361e-10   1.36539e-05
   2.12378e-10   1.36728e-05
   2.13395e-10   1.36917e-05
   2.14413e-10   1.37105e-05
   2.15431e-10   1.37294e-05
   2.16448e-10   1.37480e-05
   2.17466e-10   1.37666e-05
   2.18485e-10   1.37851e-05
   2.19503e-10   1.38036e-05
   2.20521e-10   1.38221e-05
   2.21540e-10   1.38405e-05
   2.22558e-10   1.38589e-05
   2.23577e-10   1.38772e-05
   2.24596e-10   1.38955e-05
   2.25615e-10   1.39132e-05
