    TIME (SEC)       VELOCITY
   1.00005e-11   2.00731e+04
   2.00016e-11   1.66247e+04
   3.00036e-11   1.28309e+04
   4.00037e-11   1.01989e+04
   5.00057e-11   7.30002e+03
   6.00099e-11   6.45270e+03
   7.00116e-11   5.29911e+03
   8.00132e-11   3.96484e+03
   9.00179e-11   3.84943e+03
   1.00023e-10   3.11943e+03
   1.10027e-10   2.74932e+03
   1.20033e-10   1.94591e+03
   1.30034e-10   1.96734e+03
   1.40034e-10   1.71102e+03
   1.50040e-10   1.47896e+03
   1.60042e-10   1.10769e+03
   1.70048e-10   1.06713e+03
   1.80049e-10   9.33237e+02
   1.90052e-10   8.11471e+02
   2.00055e-10   7.04615e+02
   2.10058e-10   6.11506e+02
   2.20061e-10   5.30748e+02
   2.30062e-10   4.60745e+02
   2.40068e-10   3.99951e+02
   2.50073e-10   3.47256e+02
   2.60074e-10   3.01485e+02
   2.70080e-10   2.61802e+02
   2.80082e-10   2.18169e+02
   2.90088e-10   1.93076e+02
   3.00089e-10   1.69071e+02
   3.10093e-10   1.47699e+02
   3.20099e-10   1.28910e+02
   3.30101e-10   1.12472e+02
   3.40104e-10   9.81385e+01
   3.50109e-10   8.56449e+01
   3.60114e-10   7.47144e+01
   3.70115e-10   6.52084e+01
   3.80116e-10   5.68915e+01
   3.90118e-10   4.96445e+01
   4.00120e-10   -2.82533e+05
   4.10123e-10   -3.53509e+05
   4.20126e-10   5.22617e+05
   4.30129e-10   2.85277e+05
   4.40132e-10   -4.84578e+05
   4.50135e-10   -3.03309e+05
   4.60137e-10   -1.37600e+05
   4.70139e-10   -1.38816e+05
   4.80140e-10   0.00000e+00
   4.90146e-10   0.00000e+00
   5.00152e-10   0.00000e+00
   5.10156e-10   0.00000e+00
   5.20159e-10   0.00000e+00
   5.30160e-10   0.00000e+00
   5.40166e-10   0.00000e+00
   5.50170e-10   0.00000e+00
   5.60172e-10   -8.22772e+02
   5.70178e-10   -1.57639e+03
   5.80182e-10   -2.06034e+03
   5.90183e-10   -2.43864e+03
   6.00188e-10   -2.75480e+03
   6.10190e-10   0.00000e+00
   6.20195e-10   -2.50646e+03
   6.30198e-10   -2.91833e+03
   6.40204e-10   -3.19396e+03
   6.50206e-10   0.00000e+00
   6.60212e-10   -1.34039e+03
   6.70215e-10   -1.82771e+03
   6.80220e-10   -2.15524e+03
   6.90222e-10   -2.40681e+03
   7.00226e-10   -2.61265e+03
   7.10227e-10   -1.38989e+03
   7.20231e-10   -1.80635e+03
   7.30237e-10   -2.02065e+03
   7.40239e-10   -2.18836e+03
   7.50244e-10   -2.32924e+03
   7.60245e-10   -2.45138e+03
   7.70248e-10   -1.76005e+03
   7.80253e-10   -1.93688e+03
   7.90254e-10   -2.05662e+03
   8.00256e-10   -2.15706e+03
   8.10261e-10   -2.24487e+03
   8.20268e-10   -1.29746e+03
   8.30269e-10   -1.82500e+03
   8.40273e-10   -1.93760e+03
   8.50278e-10   -2.01654e+03
   8.60284e-10   -2.08410e+03
   8.70285e-10   -2.14455e+03
   8.80288e-10   -1.49291e+03
   8.90291e-10   -1.79344e+03
   9.00296e-10   -1.88520e+03
   9.10302e-10   -1.94518e+03
   9.20308e-10   -1.99542e+03
   9.30309e-10   -2.04062e+03
   9.40311e-10   -1.42310e+03
   9.50313e-10   -1.71442e+03
   9.60316e-10   -1.80782e+03
   9.70320e-10   -1.86168e+03
   9.80324e-10   -1.90345e+03
   9.90328e-10   -1.94004e+03
   1.00033e-09   -1.12252e+03
   1.01034e-09   -1.59645e+03
   1.02034e-09   -1.71230e+03
   1.03035e-09   -1.77161e+03
   1.04035e-09   -1.81206e+03
   1.05036e-09   -1.84484e+03
   1.06037e-09   -1.87368e+03
   1.07037e-09   -1.40639e+03
   1.08038e-09   -1.59206e+03
   1.09038e-09   -1.67126e+03
   1.10039e-09   -1.71878e+03
   1.11040e-09   -1.75300e+03
   1.12040e-09   -1.78074e+03
   1.13041e-09   -1.80504e+03
   1.14041e-09   -1.41168e+03
   1.15041e-09   -1.54822e+03
   1.16042e-09   -1.61567e+03
   1.17042e-09   -1.65880e+03
   1.18042e-09   -1.69018e+03
   1.19043e-09   -1.71541e+03
   1.20043e-09   -1.73716e+03
   1.21043e-09   -1.35276e+03
   1.22043e-09   -1.48596e+03
   1.23043e-09   -1.55185e+03
   1.24044e-09   -1.59443e+03
   1.25044e-09   -1.62550e+03
   1.26045e-09   -1.65004e+03
   1.27045e-09   -1.67061e+03
   1.28045e-09   -1.23221e+03
   1.29046e-09   -1.40715e+03
   1.30046e-09   -1.48034e+03
   1.31046e-09   -1.52607e+03
   1.32046e-09   -1.55885e+03
